symbol,origIndustry,newIndustry
ROL.N,5220304020,5220304020
ROP.N,5720102012,5720122012
ROST.O,5340304010,5340344010
RSG.N,5220301010,5220301010
RTX.N,5210101010,5210101010
SBAC.O,6010204010,6010204010
SBNY.O,5510101010,5510101010
SBUX.O,5330102010,5330102010
SCHW.N,5510201010,5510201010
SEDG.O,5020101013,5020101013
SEE.N,5130201010,5130201010
SHW.N,5110101012,5110101012
SIVB.O,5510101010,5510101010
SJM.N,5410202010,5410202010
SLB.N,5010302010,5010302010
SMCI.O,5710601016,5710601016
SNA.N,5210201010,5210211010
SNDK.O,5710601017,5710601017
SNPS.O,5720102010,5720122010
SO.N,5910101010,5910101010
SOLV.N,5610102010,5610122010
SPG.N,6010202030,6010202030
SPGI.N,5220307010,5220307010
SRE.N,5910401010,5910401010
STE.N,5610102010,5610122010
STLD.O,5120102010,5120102010
STT.N,5510202010,5510222010
STX.O,5710601010,5710601010
STZ.N,5410101010,5410101010
SWK.N,5210201010,5210211010
SWKS.O,5710101011,5710101011
SYF.N,5510103010,5510133010
SYK.N,5610102014,5610122014
SYY.N,5430102010,5430102010
T.N,5740102010,5740102010
TAP.N,5410101010,5410101010
TDG.N,5210101014,5210101014
TDY.N,5710401010,5710401010
TECH.O,5620201010,5620201010
TEL.N,5710401014,5710401014
TER.N,5710102012,5710102012
TFC.N,5510101010,5510101010
TFX.N,5610102010,5610122010
TGT.N,5340202010,5340202010
TJX.N,5340202013,5340202013
TKO.N,5330203010,5330203010
TMK.N,5530103011,5530103011
TMO.N,5610101010,5610101010
TMUS.O,5740102010,5740102010
TPL.N,5010202010,5010202010
TRGP.N,5010303010,5010303010
TRMB.O,5720102013,5720122013
TROW.O,5510202010,5510222010
TRV.N,5530102010,5530102010
TSCO.O,5340309010,5340309010
TSLA.O,5310101014,5310101014
TSN.N,5410202016,5410202016
TT.N,5210203015,5210203015
TTD.O,5720102010,5720122010
TTWO.O,5720102010,5720122010
TWTR.N,5720103012,5720133012
TXN.O,5710101010,5710101010
TXT.N,5210101012,5210101012
TYL.N,5720102010,5720122010
UAL.N,5240601010,5240601010
UBER.N,5720103010,5720133010
UDR.N,6010203010,6010203010
UHS.N,5610201010,5610201010
ULTA.O,5340309012,5340309012
UNH.N,5610202010,5610202010
UNP.N,5240503011,5240503011
UPS.N,5240501010,5240501010
URI.N,5220304018,5220304018
USB.N,5510101010,5510101010
V.N,5220304027,5220304027
VFC.N,5320202010,5320202010
VIAC.O,5330203011,5330203011
VICI.N,6010204030,6010204030
VLO.N,5010203010,5010233010
VLTO.N,5220301010,5220301010
VMC.N,5120201010,5120201010
VNO.N,6010202010,6010202010
VRSK.O,5720101013,5720101013
VRSN.O,5720101010,5720101010
VRTX.O,5620104010,5620104010
VST.N,5910101010,5910101010
VTR.N,6010204020,6010204020
VTRS.O,5620104010,5620104010
VZ.N,5740101010,5740101010
WAB.N,5210202014,5210202014
WAT.N,5610101010,5610101010
WBA.O,5430101010,5430101010
WBD.O,5330202011,5330202011
WDAY.O,5720102012,5720122012
WDC.O,5710601017,5710601017
WEC.N,5910101010,5910101010
WFC.N,5510101010,5510101010
WHR.N,5320403011,5320403011
WLTW.O,5530101012,5530101012
WM.N,5220301010,5220301010
WMB.N,5010303010,5010303010
WMT.N,5430102010,5430102010
WR.N,5910101010,5910101010
WRB.N,5530102010,5530102010
WRK.N,5130202010,5130202010
WSM.N,5340303010,5340303010
WST.N,5610102010,5610122010
WY.N,6010204050,6010204050
WYNN.O,5330103013,5330103013
XEL.N,5910101010,5910101010
XOM.N,5010203010,5010233010
XRAY.O,5610102010,5610122010
XYL.N,5210201010,5210211010
XYZ.N,5220304027,5220304027
YUM.N,5330102013,5330102013
ZBRA.O,5710401010,5710401010
ZION.O,5510101011,5510101011
ZMH.N,5610102010,5610122010
ZTS.N,5620104014,5620104014
